Title,Author,Run Time
Designing Data Governance from the Ground Up,Lauren Maffeo,Duração: 3 horas e 20 minutos
Fundamentals of Data Engineering,Joe Reis,Duração: 17 horas e 31 minutos
Time Series Forecasting in Python,Marco Peixeiro,Duração: 10 horas e 54 minutos
Grokking Algorithms,Aditya Bhargava,Duração: 3 horas e 46 minutos
Everybody Lies,Seth Stephens-Davidowitz,Duração: 7 horas e 39 minutos
SQL: 3 Books in 1,Ryan Campbell,Duração: 7 horas e 40 minutos
Tech Tsunami,Nicholas Penn,Duração: 6 horas e 18 minutos
How to Make Things Faster,Cary Millsap,Duração: 6 horas e 38 minutos
Mastering Blockchain,Hadi Morrow,Duração: 11 horas e 28 minutos
Fundamentals of Data Analytics,Russell Dawson,Duração: 4 horas e 20 minutos
From Big Data to Big Profits,Russell Walker,Duração: 13 horas e 1 minuto
The Power of Leading Data Analytics,Bruno Dossantos,Duração: 2 horas e 23 minutos
97 Things Every Data Engineer Should Know,Tobias Macey - editor,Duração: 5 horas e 41 minutos
Data Analytics Unleashed,Bruno Dossantos,Duração: 6 horas e 34 minutos
Casual Artificial Intelligence,Judith S. Hurwitz,Duração: 10 horas e 55 minutos
Phishing Dark Waters,Christopher Hadnagy,Duração: 5 horas e 25 minutos
Master SQL,Ryan Campbell,Duração: 3 horas e 31 minutos
AWS Certified Developer Associate,Jamie Murphy,Duração: 3 horas e 43 minutos
SQL Mastermind,Ryan Campbell,Duração: 1 hora e 47 minutos
Ham Radio Test Study Guide,Richard Man,Duração: 1 hora e 31 minutos
SQL Made Easy,Ryan Campbell,Duração: 1 hora e 49 minutos
The Blockchain Blueprint,James Stott,Duração: 3 horas e 7 minutos
Data Analytics Advantage,Ember Blau,Duração: 3 horas e 28 minutos
Algorithms and Data Structures for Massive Datasets,Dzejla Medjedovic,Duração: 9 horas e 45 minutos
The Kaggle Book,Konrad Banachewicz,Duração: 12 horas e 29 minutos
R Programming,Andy Vickler,Duração: 3 horas e 55 minutos
R Programming: 3 Books in 1,Andy Vickler,Duração: 11 horas e 49 minutos
#Datastories,Alice Avallone,Duração: 4 horas e 26 minutos
